Product A,Product B,Cosine Similarity
Illooms Air Filled Dino,Illooms Air Filled Unicorn,0.9929161496195696
Blue Balloon Arch 60 Balloons,Pink Balloon Arch 60 Balloons,0.9917590041822931
Tesco Pink Balloons 15Pk,Tesco Blue Balloons 15Pk,0.9878811397907602
Dragon Universal All Purpose Filler 330G,Dragon Universal All Purpose Filler 1.5 Kilograms,0.98444171701808
20 Copper Wire Lights,Led Bottle Lights,0.9839949516874341
Tesco Purple Balloons 15Pk,Tesco Blue Balloons 15Pk,0.9827926253993191
Tesco Pink Balloons 15Pk,Tesco Purple Balloons 15Pk,0.9817552341025305
Tesco Age 18 Balloons 6 Pack,Tesco Age 30 Balloons 6 Pack,0.9736255006656437
Tesco Age 40 Balloons 6 Pack,Tesco Age 30 Balloons 6 Pack,0.9736255006656437
Tesco Age 18 Balloons 6 Pack,Tesco Age 40 Balloons 6 Pack,0.9709809872906183
Tesco Blue Balloons 15Pk,Tesco Pearlised Black Balloons 10 Pack,0.967240819464121
Tesco Age 21 Balloons 6 Pack,Tesco Age 30 Balloons 6 Pack,0.967239897794571
Tesco Pink Balloons 15Pk,Tesco Pearlised Black Balloons 10 Pack,0.9662198439479448
Tesco Purple Balloons 15Pk,Tesco Pearlised Black Balloons 10 Pack,0.966031498215052
Tesco Age 21 Balloons 6 Pack,Tesco Age 40 Balloons 6 Pack,0.9646127286778755
Tesco Age 18 Balloons 6 Pack,Tesco Age 21 Balloons 6 Pack,0.9646127286778755
Command Matte Hook,Command Coat Hanger Assorted,0.9611066377249169
Tesco Heart Balloons 10 Pack,Tesco Age 30 Balloons 6 Pack,0.9606902911730504
Tesco Heart Balloons 10 Pack,Tesco Age 40 Balloons 6 Pack,0.9580809117735515
Tesco Heart Balloons 10 Pack,Tesco Age 18 Balloons 6 Pack,0.9580809117735515
Tesco Heart Balloons 10 Pack,Tesco Star Balloon 10 Pack,0.954380700573953
Tesco Birthday Girl Balloons 10 Pack,Tesco Happy B Day Balloons Pink 10 Pack,0.9534652073656278
Tesco Crystal Balloons 10 Pack,Tesco Silver Balloons 10 Pack,0.9530332606422897
Tesco Age 30 Balloons 6 Pack,Tesco Star Balloon 10 Pack,0.9519583372881989
Tesco Heart Balloons 10 Pack,Tesco Age 21 Balloons 6 Pack,0.9517972593663799
Tesco Age 18 Balloons 6 Pack,Tesco Star Balloon 10 Pack,0.9493726751894722
Tesco Age 40 Balloons 6 Pack,Tesco Star Balloon 10 Pack,0.9493726751894722
Tesco Crystal Balloons 10 Pack,Tesco Neon Balloons 10 Pack,0.9489987814864166
Tesco 5W40 Fully Synthetic Oil 2L,Tesco 5W30 F. Synthetic Oil Bmw/Vx/Mb 2L,0.9468910308467757
Tesco Crystal Balloons 10 Pack,Tesco Heart Balloons 10 Pack,0.9463620364320738
